Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-NOV-2025,32280.45,32305.7,32121.35,32145.85,80868533,10677.32
27-NOV-2025,32219.35,32314.95,32128.25,32218.6,92943947,13046.38
26-NOV-2025,31694.5,32169.8,31676,32153.05,117689621,18867.84
25-NOV-2025,31674.7,31796.95,31621.95,31692.7,100334111,12682.99
24-NOV-2025,31944.9,31955.35,31601.3,31641.9,203702524,25575.41
21-NOV-2025,32087.5,32111.4,31838.6,31866.55,90688791,12683.41
20-NOV-2025,32078.55,32278.85,31958.6,32170,96309000,14308.78
19-NOV-2025,31830.15,31982.4,31712.95,31968.45,90384526,13328.56
18-NOV-2025,32020.75,32043.45,31793.45,31824.45,113639066,15386.77
17-NOV-2025,31972.05,32047.6,31868.3,32033.25,97966567,12769.35
14-NOV-2025,31738.75,31919.7,31707.65,31884.15,109007962,15515.84
13-NOV-2025,31811.7,31953,31684.45,31788.2,94850723,13254.32
12-NOV-2025,31733.9,31842.5,31676.95,31783.85,111788903,17251.57
11-NOV-2025,31521.5,31548.6,31223.4,31529.55,125682884,16630.07
10-NOV-2025,31480.4,31650.5,31417.45,31538.1,113771747,13099.52
07-NOV-2025,31083,31457.4,30919.15,31417.05,165520190,29152.22
06-NOV-2025,31433.2,31536.2,31182.25,31213.95,125502544,17264.92
04-NOV-2025,31597.75,31649,31447.6,31476.1,101644595,14751.44
03-NOV-2025,31412.45,31659.15,31361.3,31606.7,95351626,11804.8
31-OCT-2025,31647.25,31704.65,31420.5,31443.35,149206538,17160.95
30-OCT-2025,31733.7,31768.35,31550.15,31630.25,75236853,10303.8
29-OCT-2025,31711.05,31794.6,31648.4,31756.35,90674603,12082.46
28-OCT-2025,31790.8,31859.95,31523.2,31669.4,141040858,19939.25
27-OCT-2025,31797.6,31855.1,31734.6,31796.9,95540209,13348.9
24-OCT-2025,31832.25,31850.95,31572.6,31683.5,86085294,11165.9
23-OCT-2025,32053.4,32081.05,31720.95,31754.95,146824190,19507.9
21-OCT-2025,32000.05,32014.8,31823.75,31882.9,15608856,2012.41
20-OCT-2025,31946.55,32051.35,31856.05,31895.7,95501036,13760.25
17-OCT-2025,31701.2,31962.85,31649.8,31805.55,116748924,14836.39
16-OCT-2025,31616.55,31769.25,31528.85,31720.4,113737360,15821.77
15-OCT-2025,31188.6,31607.15,31163.15,31580.25,94536689,14007.08
14-OCT-2025,31292.3,31354.25,31008.8,31086.2,93239495,12896.3
13-OCT-2025,31019.6,31236.85,30987.4,31213.7,80516604,11767.65
