Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2022,20442.15,20458.75,20261.55,20314.7,95365743,8442.35
30-MAR-2022,20324.65,20426.8,20242.55,20392.95,131164101,13358.61
29-MAR-2022,20192.85,20249.55,20097.65,20158.05,107157706,8349.56
28-MAR-2022,20117.55,20161.65,19847.7,20086.75,98865226,7719.02
25-MAR-2022,20250.5,20260.35,19938.35,20077.85,97966032,7543.96
24-MAR-2022,19924.3,20198.65,19893,20157.9,114240030,8236.69
23-MAR-2022,20215,20226,19983.5,20027.95,137826330,9725.6
22-MAR-2022,19907.05,20113.2,19664.65,20083.9,137237492,10012.66
21-MAR-2022,20081.4,20127.65,19841.45,19863.9,131530003,9832.55
17-MAR-2022,19964.5,20097,19908.85,19978.6,156542973,14803.12
16-MAR-2022,19640.45,19741.95,19589.85,19732.3,109680572,9000.66
15-MAR-2022,19689.75,19734.1,19224.7,19356.15,152398577,11635.35
14-MAR-2022,19422.95,19659.85,19403.85,19642.55,137337952,10440.83
11-MAR-2022,19347.75,19461.8,19252.2,19436.75,142661760,9225.24
10-MAR-2022,19543.65,19544.4,19244.7,19404.5,198216088,14199.89
09-MAR-2022,18893.05,19219.6,18843.6,19112.4,187463791,13037.92
08-MAR-2022,18539.8,18824.45,18431.9,18803.25,224233705,13905.05
07-MAR-2022,18502.3,18622.85,18300.8,18531.05,194066257,12760.09
04-MAR-2022,19089.1,19187.9,18820.5,18866.85,188073822,13159.39
03-MAR-2022,19533.9,19570,19233.25,19285.4,197915535,13348.43
02-MAR-2022,19224,19377.25,19126.4,19285.65,160505451,11279.48
28-FEB-2022,18863.05,19369.55,18709,19335.2,177309787,13531.49
25-FEB-2022,18706.85,19147,18687.15,19071.15,197175770,13040.32
24-FEB-2022,18731.15,18931.35,18226.95,18266.6,253879254,16514.92
23-FEB-2022,19455.55,19540.45,19339.5,19384.75,104740281,7944.01
22-FEB-2022,18867.95,19357.05,18865.05,19317.5,151296134,10863.4
21-FEB-2022,19401.95,19586.2,19179.9,19396,109208807,7923.1
18-FEB-2022,19509.65,19702.85,19482.05,19500.9,89172499,6637.61
17-FEB-2022,19857.35,19923.6,19606.7,19639.1,112647212,7625.43
16-FEB-2022,19932,19980,19656.7,19717.95,125735117,8666.55
15-FEB-2022,19201.55,19841.15,19029.6,19810.75,148279023,10276.06
14-FEB-2022,19284.05,19431.3,18982.25,19038.5,156036426,10655.44
11-FEB-2022,20023.95,20037.45,19679.9,19726.05,120547839,9097.72
10-FEB-2022,20183.85,20248.3,20046.25,20228.45,137166988,8494.66
09-FEB-2022,19840.95,20116.7,19815.45,20087.15,130341799,9066.43
08-FEB-2022,19875.7,19948.8,19434.85,19705.9,197895805,11422.27
07-FEB-2022,20111.75,20213.5,19704.75,19788.85,161507869,10613.15
04-FEB-2022,20095.75,20256.9,19981.6,20097.65,142943404,9666.68
03-FEB-2022,20303.05,20312.85,20033.3,20084.25,118732046,8985.36
02-FEB-2022,20167.55,20347.75,20148.35,20325.2,119523502,9856.69
01-FEB-2022,20091,20119.5,19676,20069.8,225619224,13786.82
31-JAN-2022,19770.55,19959.05,19698.85,19897.25,170707282,12941.11
28-JAN-2022,19418.7,19847.75,19418.7,19455.85,186770736,15332.87
27-JAN-2022,19383.8,19390.35,18964.35,19228.2,190108301,14858.78
25-JAN-2022,19145.35,19655.05,18946.75,19628.45,173869342,13776.26
24-JAN-2022,20282.65,20291.2,19242.3,19421.45,170621236,13216.8
21-JAN-2022,20697.45,20707.5,20186.95,20313.95,141219563,12265.29
20-JAN-2022,20915.45,20982.5,20740.45,20854.5,127877202,11213.96
19-JAN-2022,20951.85,20974.25,20690.6,20891.85,167550917,12484.49
18-JAN-2022,21577.2,21618.7,20953.55,21009.7,122166390,10774.16
17-JAN-2022,21491.1,21554.05,21403.7,21536.5,137686527,10050.76
14-JAN-2022,21419.8,21499.75,21321.6,21456.1,136119681,11448.04
13-JAN-2022,21406.1,21514.7,21220.4,21502.2,179630518,13977.78
12-JAN-2022,21378.5,21415.05,21281.85,21394.1,125933213,10008.68
11-JAN-2022,21163.35,21292.8,21135.25,21241.5,122213585,10447.98
10-JAN-2022,21102.25,21179.35,20976.15,21163.8,119264565,10167.57
07-JAN-2022,21039.55,21157.4,20887.85,21008.1,134623215,11347.13
06-JAN-2022,20839.1,20975.3,20763.2,20948.1,130522073,10742.09
05-JAN-2022,21079.4,21098.4,20895.35,21018.15,110286384,10385.84
04-JAN-2022,21114.1,21138.2,20877.35,21107.4,150978894,9745.28
03-JAN-2022,20825.9,21053,20823.95,21031.1,103503378,7817.78
31-DEC-2021,20600.25,20809.65,20595.5,20774.7,80246537,7259.44
30-DEC-2021,20652.65,20709.35,20530.9,20557.65,165524196,8524.04
29-DEC-2021,20761.7,20812.3,20636.65,20674.3,123445002,6376.47
28-DEC-2021,20690.3,20823.7,20672.5,20791.05,127750931,7423.01
27-DEC-2021,20448.75,20586.35,20295.6,20557.5,130033381,6261.73
24-DEC-2021,20721.8,20722.7,20352.65,20514.8,154474276,7372.97
23-DEC-2021,20638.05,20760.9,20580.1,20630.85,156330477,8379.71
22-DEC-2021,20319.25,20514.9,20290.6,20485.75,159358592,8263.26
21-DEC-2021,19955.4,20329.7,19904.8,20165.95,217514706,10746.55
20-DEC-2021,20146.25,20168.25,19447.45,19737.7,291066690,13165.52
17-DEC-2021,20840.6,20862.45,20353.8,20393.4,317327725,16981.32
16-DEC-2021,20979.25,21032.2,20763.25,20861.75,187434708,8729.85
15-DEC-2021,21022.65,21069.55,20778.15,20811.35,182264593,8293.17
14-DEC-2021,20935.25,21086.15,20825.45,21036.65,202993375,9377.6
13-DEC-2021,21326.5,21365.45,21012.85,21040.9,256984308,10886.15
10-DEC-2021,20962.75,21183.3,20935.9,21120.15,191732845,8945.3
09-DEC-2021,21056.05,21071.85,20867.1,21033,207887808,9373.02
08-DEC-2021,20684.2,20967.75,20679.45,20949,240851369,11759.76
07-DEC-2021,20293.4,20617.7,20253.4,20544.85,258067902,11670.41
06-DEC-2021,20485.45,20535.5,20082.45,20118.4,249039455,10243.15
03-DEC-2021,20603.2,20716.05,20454.2,20478.25,260045372,12103.88
02-DEC-2021,20332.3,20604.5,20232.55,20575.9,282276118,12518.42
01-DEC-2021,20146,20306.6,19984.2,20261.6,270806207,12052.46
30-NOV-2021,20140.25,20525.25,19871.05,19942.7,514535021,25736.84
29-NOV-2021,20078.1,20334.9,19587.05,20084.65,334042540,14693.37
26-NOV-2021,20835.8,20897.6,20107.1,20162.55,376707522,17738.33
25-NOV-2021,20909.45,21117.05,20819.35,21078.35,242074955,11153.77
24-NOV-2021,21087.4,21199.35,20821.35,20915.1,263906844,12891.31
23-NOV-2021,20607.7,21078.1,20533.95,21021.9,644820327,25193.68
22-NOV-2021,21065.85,21086.6,20365.25,20646.65,325610882,16607.62
18-NOV-2021,21496.5,21528.95,20924.9,21011.05,342457139,16612.65
17-NOV-2021,21312.4,21566.85,21287.9,21449.05,245742181,15953.26
16-NOV-2021,21425.1,21567,21299.2,21349.25,255178093,14103.26
15-NOV-2021,21494.15,21551.55,21379,21401.55,179398006,11289.68
12-NOV-2021,21322.45,21432.9,21166.85,21404.5,257306989,13899.31
11-NOV-2021,21242.15,21321.3,21038.6,21132.65,257548833,12902.5
10-NOV-2021,21260.2,21337.55,21156.95,21255.3,405955626,13508.32
09-NOV-2021,21288.1,21459.95,21245.85,21361.9,399042762,15693.02
08-NOV-2021,21070.4,21280.9,20821.55,21257.4,289227030,12995.88
04-NOV-2021,21005.85,21054.7,20906.2,20938.95,54232669,2202.19
03-NOV-2021,20804.25,20920.6,20748.75,20875.25,313178726,13824.96
02-NOV-2021,20949,20987.25,20710.6,20739,344070655,13528.19
01-NOV-2021,20650.9,20848.95,20430.55,20815.4,465821501,15280.55
29-OCT-2021,20360.1,20679,20101,20399.3,437113542,16547.04
28-OCT-2021,20809.05,20809.05,20286.65,20366.5,371254981,16994.62
27-OCT-2021,21151.7,21178.7,20927.85,20979,315117072,16048.05
26-OCT-2021,20671.05,21132.75,20645.05,21080.45,375190472,16449.01
25-OCT-2021,20849.75,20853.9,20202.55,20594.7,329360728,14996.01
22-OCT-2021,21229.05,21294.35,20654.15,20775.7,341535453,17119.73
21-OCT-2021,21643.65,21643.65,20977.25,21213.75,399456288,20539.23
20-OCT-2021,21799,21799,21295.4,21507.6,538216471,21951.4
19-OCT-2021,22487.55,22498.5,21716.6,21829.6,572276930,23873.14
18-OCT-2021,22126.7,22463.55,22023.3,22290.75,734863422,28662.72
14-OCT-2021,21745.25,21918.35,21600.9,21793.25,579580192,31270.58
13-OCT-2021,20968.8,21512.1,20911.4,21412.65,1025586170,32840.67
12-OCT-2021,20630.1,20765.5,20463.4,20746.85,549131306,17421.58
11-OCT-2021,20396.4,20710.85,20353.1,20575.4,453876372,16831.22
08-OCT-2021,20347.5,20457.8,20288.65,20353.05,324651282,14504.7
07-OCT-2021,20122.55,20304.45,20073.15,20203.9,376433172,16173.23
06-OCT-2021,20330.15,20407.45,19865.05,19914.4,351003450,14957.82
05-OCT-2021,20113.6,20341.25,20083.7,20247.5,411730692,14320.28
04-OCT-2021,19837.45,20171.3,19772.15,20153.9,373281801,13274.93
01-OCT-2021,19710.7,19799.4,19527.35,19753.45,349405309,11971.51
30-SEP-2021,19910,19960,19760.95,19793.4,418336842,14786.22
29-SEP-2021,19511.35,19938.9,19466.8,19857.75,508622553,16083.39
28-SEP-2021,19881.6,19910.3,19498.15,19624.95,307424324,12550.47
27-SEP-2021,19987.15,19989.1,19747.45,19832.95,221999002,12365.62
24-SEP-2021,20182.05,20205.8,19853.15,19900.35,279984900,15397.9
23-SEP-2021,19974.55,20112.5,19943.85,20093,258542124,12303.89
22-SEP-2021,19654.4,19833.15,19650.75,19779.65,258754882,12414.02
21-SEP-2021,19257.55,19630.6,19128.95,19603.3,291870371,15134.96
20-SEP-2021,19701.25,19773.25,19175.95,19233.55,299273145,14350.82
17-SEP-2021,20245.5,20247.35,19839.5,19935.8,324095694,18014.37
16-SEP-2021,20244.95,20302.7,20095.4,20182.4,241216649,11480.87
15-SEP-2021,20026.05,20195.55,19972,20174.8,265120555,12155.67
14-SEP-2021,20047.45,20048.85,19930.3,19976.95,212295919,9868.25
13-SEP-2021,19854.9,19978.2,19797.1,19960.1,180292083,9636.33
09-SEP-2021,19731.4,19834.3,19692.85,19816.95,165803557,7877.89
08-SEP-2021,19793.2,19869.95,19657.05,19763.55,178926157,9643.34
07-SEP-2021,19914.45,19934.55,19653.05,19751.65,207445293,9998.7
06-SEP-2021,19813.45,19910.65,19741.15,19854.3,211322058,10789.14
03-SEP-2021,19647.35,19758.25,19556.3,19735.95,232440197,11097.09
02-SEP-2021,19484.75,19638.3,19451.4,19604.15,220532821,11348.51
01-SEP-2021,19505.75,19505.75,19292.75,19423.6,309488088,14187.75
31-AUG-2021,19171.9,19457.7,19126.45,19420.55,329487629,21632.32
30-AUG-2021,18951.65,19151.55,18944.5,19124.55,244834629,12702.56
27-AUG-2021,18649.75,18854.05,18643.6,18830.55,267256010,12097.46
26-AUG-2021,18743.65,18788.65,18525.25,18608.55,273677445,12166.03
25-AUG-2021,18779.75,18854.45,18674.05,18732.4,258852516,13598.21
24-AUG-2021,18509.35,18744.75,18453.15,18704.5,324730267,16719.51
23-AUG-2021,18629.3,18670.85,18159.5,18349.95,392821085,18403.25
20-AUG-2021,18700.95,18824.85,18340.7,18431.75,386732809,20706.04
18-AUG-2021,19061.1,19106.95,18911.55,19000.45,261900314,15181.24
17-AUG-2021,19107.35,19225.45,18837.05,19037.45,338046864,20523.96
16-AUG-2021,19030.45,19179.4,18980.6,19110.8,251963765,14889.71
13-AUG-2021,18959.15,19081.6,18835.5,19014.05,317539912,14936.11
12-AUG-2021,18871.05,18965.35,18818.2,18948.9,248233984,11071.22
11-AUG-2021,18663.55,18834.85,18486.05,18811.4,350680989,14623.38
10-AUG-2021,18907.55,18939.75,18441.65,18589.35,269973910,11699.42
09-AUG-2021,19140.1,19145.1,18767.65,18857.85,305930482,12407.79
