Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-NOV-2025,63729.15,63754.35,63472.55,63596.6,131698609,7214.23
27-NOV-2025,63902.75,63917.5,63362.9,63619.95,84799475,6545.95
26-NOV-2025,62950,63707.15,62811,63677.4,114968623,6737
25-NOV-2025,62768.9,62850.35,62614.45,62791.3,126324264,7683.95
24-NOV-2025,63064.15,63091,62575.35,62688.15,322301121,23221.07
21-NOV-2025,63584.3,63607.6,62905.95,62972.65,110429075,7468.34
20-NOV-2025,63732.7,63867.15,63582.9,63645.9,109910564,8826.93
19-NOV-2025,63307.15,63605.4,63116,63544.95,122622870,9623.06
18-NOV-2025,63725.35,63737.75,63192.5,63231.7,145961966,10925.09
17-NOV-2025,63418.4,63700.3,63275.1,63672.75,138128382,9359.05
14-NOV-2025,62986.15,63261.95,62881.55,63171.3,147446365,12471.42
13-NOV-2025,63329.5,63397.95,62816.5,62924.35,125933149,8740.84
12-NOV-2025,63065.5,63288.15,62887.3,63220.8,168096619,13536.17
11-NOV-2025,62616.6,62753.85,62207.35,62703.9,145285873,9319.31
10-NOV-2025,62446,62701.85,62286.1,62436.55,169686951,9645.37
07-NOV-2025,61604.8,62354.95,61126.65,62298.7,284281159,15720.7
06-NOV-2025,62317.15,62386.1,61746.4,61803.45,240452588,10215.26
04-NOV-2025,62465.8,62622.7,62145.15,62236,414902618,12667.86
03-NOV-2025,61895.6,62400.75,61888.55,62324.1,168446059,9513.02
31-OCT-2025,62334,62401.45,61857.8,61909,188157631,9497.99
30-OCT-2025,62523.5,62556.95,62080.1,62281.1,181724194,9451.05
29-OCT-2025,62221.15,62481.1,62075.5,62399.3,239740446,9066.89
28-OCT-2025,62064,62228.25,61862.35,62138.75,258206055,11211.2
27-OCT-2025,61722.2,62019,61607.75,61984.55,136452042,9206.36
24-OCT-2025,61990.5,62031.6,61343.75,61525.55,123112123,6992.53
23-OCT-2025,62474.35,62541.45,61755.8,61838.4,171445408,10159.04
21-OCT-2025,62407.35,62467.4,62122.8,62231.45,34960599,1262.62
20-OCT-2025,62053.8,62325.8,61974.85,62175.5,159898118,9444.67
17-OCT-2025,62039.6,62077.95,61597.8,61774.65,260342551,9489.65
16-OCT-2025,61851.05,62053.85,61749.85,61948.4,132003051,9929.91
15-OCT-2025,61343.8,61812.8,61295.8,61730,132805138,9593.03
14-OCT-2025,61719.55,61800.65,61004.1,61119.75,121927540,8584.1
13-OCT-2025,61183.15,61583.2,61072.05,61526.4,128643279,8342.44
10-OCT-2025,61348.95,61498.25,61197.35,61349.05,125227929,7757.02
09-OCT-2025,60820.8,61342.15,60602.2,61288.6,145607388,8031.72
08-OCT-2025,61000.1,61181.85,60618.55,60701.15,148174672,7812.57
07-OCT-2025,60987.15,61151.9,60729.15,60976.7,186688136,9599.54
