Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2021,14939.1,15003.9,14891.3,14935.1,111379978,11096.91
30-MAR-2021,14761,14944.2,14746.4,14914.4,158128789,14551.49
26-MAR-2021,14511.25,14699.15,14464.4,14608.6,137910293,12214.49
25-MAR-2021,14667.65,14672.25,14295.75,14371.5,149239110,13250.63
24-MAR-2021,14758.3,14873,14599.15,14626.7,123924034,11921.78
23-MAR-2021,14767.15,14918,14751.3,14834.6,120619036,11598.34
22-MAR-2021,14499.65,14761.65,14421.45,14720.55,114170707,10442.75
19-MAR-2021,14163.5,14506.2,13903.95,14476.55,161915764,15441.8
18-MAR-2021,14622.5,14642,14130.95,14245.6,108429251,10712.67
17-MAR-2021,14760.65,14773.05,14472.8,14502,87236357,8176.32
16-MAR-2021,14771.25,14791.25,14675.95,14750.6,100286940,10257.92
15-MAR-2021,14781.6,14785.75,14492.6,14696.35,96754880,9204.09
12-MAR-2021,14897.65,14954.95,14674,14724.7,113837001,10695.3
10-MAR-2021,14719.6,14825.25,14674.05,14802.6,118697977,10484.2
09-MAR-2021,14729,14755,14480.6,14597.2,106061558,9265.48
08-MAR-2021,14727.3,14777.9,14623.4,14639.45,90202045,7953.16
05-MAR-2021,14852.6,14891.9,14567.4,14633.85,154350903,11871.26
04-MAR-2021,14833.4,15045.7,14800.85,14925.05,128777162,11878.89
03-MAR-2021,14882.75,15029.5,14836.25,15009.35,134992671,12044.79
02-MAR-2021,14580.9,14785.8,14558.15,14749.2,113705273,11178.45
01-MAR-2021,14367.3,14512.45,14344.2,14476.1,111017052,9677.3
26-FEB-2021,14490.3,14642.95,14193.45,14255.15,170893877,17001.23
25-FEB-2021,14596,14721.85,14592.05,14671.35,133952554,12553.2
24-FEB-2021,14553.55,14571.5,14369.55,14491.6,102509827,8822.28
23-FEB-2021,14442.65,14502.15,14273.05,14456.05,161125945,13956.5
22-FEB-2021,14560.15,14618.2,14304.35,14364.9,152559117,13460.29
19-FEB-2021,14786.65,14789.8,14402.4,14542,144079844,13237.09
18-FEB-2021,14832.2,14897.05,14766.65,14805.95,117981206,12264.01
17-FEB-2021,14901.3,14950.55,14749.7,14801.95,122106222,11832.55
16-FEB-2021,14932.2,15028.05,14827.05,14922.65,180810496,15678.82
15-FEB-2021,14763.65,14927.65,14715.95,14895,138825344,13387.06
12-FEB-2021,14759.4,14793.8,14616.75,14693.2,129402336,11317.7
11-FEB-2021,14613.9,14727.25,14590.2,14715.4,115895021,10462.88
10-FEB-2021,14581.8,14664.5,14443.9,14626.1,190563227,16932.88
09-FEB-2021,14642.55,14719.65,14445.6,14512.5,188480429,17034.91
08-FEB-2021,14405.9,14620.8,14397.05,14590.2,164587068,15294.04
05-FEB-2021,14344.35,14347.15,14134.65,14284.05,181885101,16130.22
04-FEB-2021,14123.25,14286.8,14070.85,14249.25,205904247,15841.94
03-FEB-2021,14007.2,14214.6,13914.85,14083.6,172259833,16076.35
02-FEB-2021,13769.15,13927.65,13696.85,13899.55,167503588,15567.53
01-FEB-2021,13269.25,13661.5,13088.45,13609.3,166112337,14437.17
29-JAN-2021,13721.05,13741.85,13156.5,13206.2,183054800,16291.44
28-JAN-2021,13537.05,13684.3,13506.2,13597.5,152492656,13100.24
27-JAN-2021,13950.9,13950.9,13643.25,13679.2,170313958,13462.3
25-JAN-2021,14160.2,14220.6,13801.15,13932.3,196035198,15165.75
22-JAN-2021,14280.6,14349.15,13996.2,14036.95,241629381,16597.99
21-JAN-2021,14442.1,14487.15,14176.7,14255.75,213289720,18755.54
20-JAN-2021,14133.15,14340.55,14126.85,14324.7,164572817,13374.62
19-JAN-2021,13939.7,14107.6,13929.2,14080.75,143523201,13307.1
18-JAN-2021,14148.95,14157.05,13778.65,13851.15,150962411,13205.02
15-JAN-2021,14420.6,14464.7,14069.95,14142,167718628,14947.11
14-JAN-2021,14458.4,14458.4,14274.95,14395.1,196312071,16339.77
13-JAN-2021,14567.8,14596.25,14272.1,14468.6,162608737,14592.84
12-JAN-2021,14555.6,14624.85,14465.55,14490.35,143782083,13278.25
11-JAN-2021,14474.35,14578.9,14362.3,14554.8,173417169,15057.17
08-JAN-2021,14258.75,14417.6,14232.25,14396.4,162026238,13693
07-JAN-2021,14168.8,14228.05,14126.9,14148.95,152363922,12854.59
06-JAN-2021,14160.85,14215.45,13914.75,14065.9,133632908,13349.54
05-JAN-2021,13947.9,14147.05,13887.45,14120.9,139196834,13467.06
04-JAN-2021,13826.65,14012.3,13772.05,13994.85,158999610,12128.58
01-JAN-2021,13672.7,13789.25,13668.3,13751.8,92595071,7568.68
31-DEC-2020,13628.4,13702.05,13603.65,13654.7,135883130,9058.91
30-DEC-2020,13621.4,13655.65,13527.95,13636.05,208584900,7982.28
29-DEC-2020,13641.2,13662.6,13509.65,13577.4,118429825,8312.91
28-DEC-2020,13623.45,13630.95,13553.3,13589.95,76283463,7172.14
24-DEC-2020,13592,13604,13427.7,13553.7,87919278,8279.04
23-DEC-2020,13303,13526.45,13267.7,13505.35,87405673,8581.71
22-DEC-2020,13084.25,13323.3,12835.5,13285.45,111384729,10625.85
21-DEC-2020,13473.3,13505.45,12774.7,13055.05,131415940,13684.42
18-DEC-2020,13422.65,13498.5,13367.85,13481.8,93649900,12606.55
17-DEC-2020,13382.4,13484.9,13372.2,13394.5,90688546,10940.86
16-DEC-2020,13312.55,13381.15,13282.15,13364.35,98501911,8595.1
15-DEC-2020,13317.85,13322.65,13216,13240.4,121535966,8899.06
14-DEC-2020,13282.2,13320.55,13246.35,13306.05,90896007,8984.87
11-DEC-2020,13295.2,13349.85,13118.4,13226.6,76421483,8948.4
10-DEC-2020,13153.15,13282.8,13116.4,13272.8,83138228,9415.82
09-DEC-2020,13147.1,13187.6,13119.2,13161.4,112960951,8860.3
08-DEC-2020,13176,13205.9,13012.95,13088.4,97148504,10862.15
07-DEC-2020,13031.4,13152.05,13025.75,13138.1,96228194,9953.44
04-DEC-2020,12965.55,13038.35,12922.35,13026.7,112954248,10000.05
03-DEC-2020,12883,12940.3,12823.9,12925,86938797,9784.95
02-DEC-2020,12767.3,12826.1,12692.9,12813.15,93024607,9267.01
01-DEC-2020,12912.4,12912.4,12693.25,12739.2,95545603,9993.72
27-NOV-2020,12601.05,12751.3,12574.5,12700.75,279241323,29588.16
26-NOV-2020,12455.85,12566.5,12358.5,12540.25,81719814,9117.46
25-NOV-2020,12718.85,12719.2,12394.25,12416.4,92433190,10324.28
24-NOV-2020,12653.7,12674.4,12578.35,12649.6,120163195,10994.53
23-NOV-2020,12517.4,12649.3,12486.45,12596.75,127268522,13376.61
20-NOV-2020,12430.9,12494.1,12396.1,12453.3,92894122,12157.94
19-NOV-2020,12447.15,12561.8,12362.75,12388.7,101819168,10434.04
18-NOV-2020,12498.75,12511.15,12417.9,12480.95,96833180,10131.06
17-NOV-2020,12607.85,12607.85,12473.75,12497.9,102485914,12233.48
14-NOV-2020,12565.9,12569.15,12490.25,12517,12923119,1381.09
13-NOV-2020,12394.75,12495.8,12387.5,12487.2,93825195,11994.8
12-NOV-2020,12281.4,12450.95,12247.15,12376.05,126712727,14017.81
11-NOV-2020,12154.25,12292.85,12102.15,12280.9,138265449,16391.91
10-NOV-2020,12449.75,12452,12042.25,12098.3,126224689,13787.94
09-NOV-2020,12432.5,12434.2,12313.9,12414.2,123968283,14306.53
06-NOV-2020,12292,12332.85,12241.85,12270.6,106829132,13855.22
05-NOV-2020,12183.1,12271,12145.55,12265.25,94461314,11315.64
04-NOV-2020,11978.75,12112.3,11975.15,12068.6,115214550,13908.17
03-NOV-2020,11986.6,12040.3,11913.4,11946.45,144547080,15723.38
02-NOV-2020,12023.35,12057.05,11858.9,11917.4,118843572,14992.14
30-OCT-2020,12095.55,12155.95,11957.95,12018.25,92547010,10580.08
29-OCT-2020,11982.1,12119.3,11946.6,12071.25,111173139,11161.33
28-OCT-2020,12191.75,12276.9,12024.4,12048.85,197450594,16050.17
27-OCT-2020,11888.55,12200.25,11873.8,12172.95,107104736,13350.77
26-OCT-2020,12046.95,12050,11807.65,11871.15,88217554,10169.76
23-OCT-2020,11992.1,12045.85,11968.1,12003.5,94547882,10053.58
22-OCT-2020,12010.9,12011.45,11838.65,11951.6,112132692,13209.55
21-OCT-2020,12143.55,12156.3,11866.1,12010.65,100414361,12057.32
20-OCT-2020,12070.6,12154.35,12050.35,12095.3,88958124,10537.76
19-OCT-2020,12195.2,12199.65,12057.05,12082.2,85139304,9562.34
16-OCT-2020,12052.2,12161.55,12002.6,12121.95,94045557,9754.75
15-OCT-2020,12230.75,12265.2,11988.3,12016.05,95475187,9780.41
14-OCT-2020,12169.05,12225.8,12114.55,12207.7,86771197,9743.21
13-OCT-2020,12244,12357,12145.4,12166.1,116995561,12002.8
12-OCT-2020,12242.85,12259.9,12168.8,12246.7,91010957,7934.9
09-OCT-2020,,,,12206,96500631,9667.21
08-OCT-2020,,,,12346.36,96998698,9462.97
07-OCT-2020,,,,12249.08,96545780,12140.04
06-OCT-2020,,,,12231.6,78853478,8764.34
05-OCT-2020,,,,12207.11,85597615,8368.55
01-OCT-2020,,,,12194.04,101660608,8951.51
30-SEP-2020,,,,12090.36,139785527,13755.65
29-SEP-2020,,,,12022.85,113932464,10595.14
28-SEP-2020,,,,12081.67,108252073,10290.83
25-SEP-2020,,,,11892.57,161474878,12380.3
24-SEP-2020,,,,11592.13,143540154,14518.79
23-SEP-2020,,,,11835,168213497,16032.87
22-SEP-2020,,,,11917.06,132043973,15146.19
21-SEP-2020,,,,11975.54,143254175,18867.65
18-SEP-2020,,,,12437.02,253651685,31128.06
17-SEP-2020,,,,12255.11,89135973,12572.41
16-SEP-2020,,,,12277.94,100213210,11830.09
15-SEP-2020,,,,12170.41,118884122,11789.32
14-SEP-2020,,,,12041.8,131343300,12449.39
11-SEP-2020,,,,12070.75,103683497,13083.59
10-SEP-2020,,,,11999.55,151873279,22057.17
09-SEP-2020,,,,11877.69,139362768,14018.91
08-SEP-2020,,,,11744.71,99559274,9894.74
07-SEP-2020,,,,11865.42,80191465,8416.09
04-SEP-2020,,,,11916.62,113462433,10353.42
03-SEP-2020,,,,12124.93,100019506,9118.95
02-SEP-2020,,,,12040.66,127273851,11357.1
01-SEP-2020,,,,11933.25,185311647,14541.07
31-AUG-2020,,,,11659.47,322066035,23484.92
28-AUG-2020,,,,12065.67,197330553,9414.06
27-AUG-2020,,,,12092.02,151550395,10080.61
26-AUG-2020,,,,12085.56,137530752,12313.17
25-AUG-2020,,,,12114.53,104051811,8699.32
24-AUG-2020,,,,12148.4401,156197237,11070.68
21-AUG-2020,,,,12117.0209,192596939,10937.98
20-AUG-2020,,,,12061.6847,115138200,9666.46
19-AUG-2020,,,,12078.616,102638061,10698.07
18-AUG-2020,,,,12068.387,85927113,9836.83
17-AUG-2020,,,,11974.7679,95285454,9791.76
14-AUG-2020,,,,11948.0882,140317323,14183.65
13-AUG-2020,,,,11943.142,132832589,11678.72
12-AUG-2020,,,,11961.2565,96932737,10545.28
11-AUG-2020,,,,12074.2676,105523079,13001.83
10-AUG-2020,,,,12184.3824,169206187,17836.33
07-AUG-2020,,,,11929.7199,150992292,14713.49
06-AUG-2020,,,,11810.5234,127847999,14260.87
05-AUG-2020,,,,11698.9822,144053795,15692.91
04-AUG-2020,,,,11687.9122,125234612,15943.66
03-AUG-2020,,,,11543.0261,126353842,12552.54
31-JUL-2020,,,,11586.3513,167371622,18036.93
30-JUL-2020,,,,11426.7088,168701132,19055.67
29-JUL-2020,,,,11358.8301,135404788,16374.19
28-JUL-2020,,,,11251.0094,141496597,11938.07
27-JUL-2020,,,,11203.8707,112943049,14603.81
24-JUL-2020,,,,11264.6116,156578043,18836.71
23-JUL-2020,,,,11346.2947,111084490,11979.41
22-JUL-2020,,,,11257.5038,137965866,13750.92
21-JUL-2020,,,,11280.6012,88972077,10471.91
20-JUL-2020,,,,11404.8255,91298456,10732.47
17-JUL-2020,,,,11329.2002,129768633,13378.27
16-JUL-2020,,,,11177.6545,110716162,12091.95
15-JUL-2020,,,,11059.4953,144407417,18557.95
14-JUL-2020,,,,11092.666,151490263,13647.96
13-JUL-2020,,,,11112.9991,114755570,12769.78
10-JUL-2020,,,,11036.1676,92745691,9638.98
09-JUL-2020,,,,11003.8056,80191465,8416.09
08-JUL-2020,,,,10950.574,99416658,9147.49
07-JUL-2020,,,,10988.1331,100538844,9591.55
06-JUL-2020,,,,10973.5276,102540444,9548.04
03-JUL-2020,,,,10949.5916,99008036,7966.98
02-JUL-2020,,,,10867.4054,88580139,8322.5
01-JUL-2020,,,,10813.1159,79443171,7609.03
30-JUN-2020,,,,10878.776,82108988,8091.92
29-JUN-2020,,,,10914.4154,82210144,7856.57
26-JUN-2020,,,,10904.9887,79159925,7735.62
25-JUN-2020,,,,10917.8007,260199951,23890.97
24-JUN-2020,,,,10923.614,239558516,24153.24
23-JUN-2020,,,,11093.4711,172769537,18479.66
22-JUN-2020,,,,10913.788,225190195,20281.04
19-JUN-2020,,,,10791.7121,323056533,31889.99
18-JUN-2020,,,,10625.2987,220376925,19035.86
17-JUN-2020,,,,10459.0917,167141692,15112.6
16-JUN-2020,,,,10485.379,213117008,18225.75
15-JUN-2020,,,,10433.2922,188331479,16761.62
12-JUN-2020,,,,10610.327,,
11-JUN-2020,,,,10491.2065,,
10-JUN-2020,,,,10642.6117,,
09-JUN-2020,,,,10601.9418,,
08-JUN-2020,,,,10690.8874,127847999,14260.87
05-JUN-2020,,,,10710.5714,,
04-JUN-2020,,,,10612.3236,,
03-JUN-2020,,,,10653.0123,,
02-JUN-2020,,,,10531.5412,,
01-JUN-2020,,,,10410.4938,,
29-MAY-2020,,,,10210.7019,,
28-MAY-2020,,,,10001.2708,,
27-MAY-2020,,,,9868.2026,,
26-MAY-2020,,,,9706.3383,,
22-MAY-2020,,,,9716.321,,
21-MAY-2020,,,,9799.5411,,
20-MAY-2020,,,,9814.6226,,
19-MAY-2020,,,,9606.091,,
18-MAY-2020,,,,9524.0814,,
15-MAY-2020,,,,9876.0034,,
14-MAY-2020,,,,9838.6027,,
13-MAY-2020,,,,9985.7105,,
12-MAY-2020,,,,9905.8247,,
11-MAY-2020,,,,9964.9877,,
08-MAY-2020,,,,10012.3619,144053795,15692.91
07-MAY-2020,,,,9883.0474,,
06-MAY-2020,,,,10007.5192,,
05-MAY-2020,,,,9892.1822,,
04-MAY-2020,,,,10060.6699,,
30-APR-2020,,,,10540.0427,,
29-APR-2020,,,,10382.0681,,
28-APR-2020,,,,10324.6256,,
27-APR-2020,,,,10260.1156,,
24-APR-2020,,,,10046.8773,,
23-APR-2020,,,,10220.2355,,
22-APR-2020,,,,10162.5951,,
21-APR-2020,,,,9943.216,,
20-APR-2020,,,,10074.2373,,
17-APR-2020,,,,10110.8806,,
16-APR-2020,,,,9976.611,,
15-APR-2020,,,,9870.6494,,
13-APR-2020,,,,9823.9983,,
09-APR-2020,,,,9859.8937,,
08-APR-2020,,,,9541.0335,125234612,15943.66
07-APR-2020,,,,9549.6869,,
03-APR-2020,,,,8797.1585,,
01-APR-2020,,,,8928.0064,,
