Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,42497.25,42819.2,42040.65,42183.85,177820737,9633.97
27-MAR-2025,41617.3,42427,41406.75,42347.75,241578051,10306.91
26-MAR-2025,42205.95,42315.95,41649.5,41703.75,215694933,8838.28
25-MAR-2025,43172.45,43240.75,42017.85,42146,190545939,8525.98
24-MAR-2025,42791.35,43211.75,42621.85,42904.55,270502053,11599.29
21-MAR-2025,41788,42569.5,41640.75,42494.05,458522476,18596.62
20-MAR-2025,41626.85,42006.45,41241.8,41704.65,252718090,13336.91
19-MAR-2025,40618.5,41449.15,40530.65,41330.05,251576083,12527.55
18-MAR-2025,39578.45,40476.2,39577.1,40439.65,240273779,10530.69
17-MAR-2025,39341.85,39718.5,39183.05,39350.85,156641444,7034.01
13-MAR-2025,39602.35,39689.75,39158.8,39244.45,138810002,6246.91
12-MAR-2025,39779.25,39918.1,39104.4,39470.3,138453039,6410.87
11-MAR-2025,39346.2,39774.35,38998.75,39626.65,170423084,8031.2
10-MAR-2025,40744.9,41092.25,39676.35,39816.75,148735555,7421.23
07-MAR-2025,40488.35,40969.6,40338.55,40700.25,190969932,9490.6
06-MAR-2025,40213.3,40607.45,40085.6,40476.1,269503761,11978.91
05-MAR-2025,38694.25,39871.1,38694.25,39838.5,192647503,8832.74
04-MAR-2025,37837.05,38881,37603.6,38728.7,180401339,9431.85
03-MAR-2025,38788.15,38990.85,37391.7,38330.6,230122653,11269.36
28-FEB-2025,39339.7,39492.2,38332,38666.5,240755716,9898.23
27-FEB-2025,40606.65,40679,39631,39762.45,204604828,10579.86
25-FEB-2025,40787.2,41134,40455.05,40546.65,141867955,7867.35
24-FEB-2025,40954.35,41192,40467.1,40809.05,142836779,7718.48
21-FEB-2025,41523.1,42145.35,41133.6,41334.35,170850400,9511.35
20-FEB-2025,40844.3,41655.4,40680.9,41582,184682332,9528.96
19-FEB-2025,39715.75,41094,39471.1,40972.05,205274618,10577.06
18-FEB-2025,40400.5,40525.8,39679.6,39970,151205613,9796.12
17-FEB-2025,40024.65,40653.65,39419.45,40444.7,217299681,10926.8
14-FEB-2025,41812.05,41865.4,39918,40361.65,211156526,10030.92
13-FEB-2025,41942.75,42445.1,41596.55,41698.05,167355918,8045.86
12-FEB-2025,42066.85,42208.4,40658.9,42011.45,257365241,11501.11
11-FEB-2025,43494.4,43551.45,41876.3,42167.05,202289493,8603.01
10-FEB-2025,44664.1,44802.1,43415.55,43656.25,152169492,7426.92
07-FEB-2025,44630.25,44904.8,44164.95,44674.35,183874099,8828.95
06-FEB-2025,44796.1,44959.55,44483.7,44688.35,169464390,8406.78
05-FEB-2025,43894.8,44819.2,43889.8,44771,194749576,12104.8
04-FEB-2025,43394.4,43718,43183.95,43679.75,197509222,9328.78
03-FEB-2025,43766.55,43817.55,42860.55,43076.1,175638594,8514.23
01-FEB-2025,43804.65,44342.85,43109,44136.05,275885483,12289.88
31-JAN-2025,42929.8,43689.65,42846.55,43647,243162357,11223.32
30-JAN-2025,43249.2,43656.95,42796.95,42877.65,193461817,11165.02
29-JAN-2025,41819.55,43120.65,41737.5,43089.4,206235321,11737.93
28-JAN-2025,42817.3,42937.25,40911.5,41777.45,212112897,12507.1
27-JAN-2025,44098.75,44110.65,42543.7,42865.95,188874222,11556.01
24-JAN-2025,45787.65,45888.15,44531.25,44607.5,186576038,11373.8
23-JAN-2025,45197.3,46070.45,45031,45715.75,142593004,9467.73
22-JAN-2025,46104.8,46155.4,44611,45300.1,147457766,9007.27
21-JAN-2025,47468.95,47525.15,46035.85,46094.8,171104020,9721.45
20-JAN-2025,47009.3,47423.8,46685.2,47373.65,182457547,8881.58
17-JAN-2025,46695.8,46965.5,46396.25,46882.45,299319611,10196.77
16-JAN-2025,46722.55,47101.05,46659.95,46714.55,223845818,9955.12
15-JAN-2025,46265.4,46682.55,45838.85,46368.8,162774429,8919.56
14-JAN-2025,45380.95,46099.95,45255.75,46019.05,144267182,8730.33
13-JAN-2025,46537.9,46866.3,44967.45,45222.05,188906696,10334.24
10-JAN-2025,48329.95,48389.3,47086.45,47190.5,160220414,8581.85
09-JAN-2025,49154.75,49183.8,48297.75,48367.75,161459931,8437.29
08-JAN-2025,50030.2,50068.35,48853.05,49118.5,169863760,12001.64
07-JAN-2025,49124.6,49987.8,49114.9,49930.5,173474374,12780.74
06-JAN-2025,50624.1,50702.3,48896.25,48995.8,179286362,10926.09
03-JAN-2025,50917.3,51097.8,50426.7,50514.35,147864273,8895.25
02-JAN-2025,50636.7,50837.95,50504.75,50808.15,157203650,10261.85
01-JAN-2025,50135.15,50615.7,50047.45,50536.7,142498239,9383.12
31-DEC-2024,49783.1,50219.85,49296.75,50124.1,195279003,9489.04
30-DEC-2024,50506.8,50538.2,49648.7,49822.7,181008040,9147.64
27-DEC-2024,50491.65,50723.7,50360.7,50471.05,174810059,9076.87
26-DEC-2024,50521.45,50641.4,50116.15,50361.35,179709389,11043.27
24-DEC-2024,50362.2,50738.7,50027.4,50415.55,144392715,9933.57
23-DEC-2024,50998.4,51117.15,50018.25,50305.2,141196411,9551.04
20-DEC-2024,51927.1,52100.85,50547.65,50646.9,174680992,8518.65
19-DEC-2024,51113.1,51898.5,51030.9,51766.1,133119360,6285.04
18-DEC-2024,52706.6,52775.3,51929.3,52082.2,144533664,6654.34
17-DEC-2024,53141.55,53283.2,52618.85,52703.4,175427754,8286.99
16-DEC-2024,52896.95,53235.7,52842.8,53057.4,183820965,8281.49
13-DEC-2024,52983.8,52984.25,51889.55,52794,191232988,8322.76
12-DEC-2024,53803.65,53848.25,53018.5,53120.6,237979956,9628.53
11-DEC-2024,53539.65,53794.35,53478.25,53657.7,261369895,12635.22
10-DEC-2024,53343.15,53457.95,53082.35,53345.55,208521296,10298.41
09-DEC-2024,53075.5,53346.15,53013.25,53194.05,190077733,8655.08
06-DEC-2024,52593.45,53049.35,52387.55,52951.35,251042389,11753.18
05-DEC-2024,52302.5,52560.95,52022,52474.2,220480131,11436.13
04-DEC-2024,51986.25,52239.85,51773.85,52127.55,234052899,9406.84
03-DEC-2024,51540.15,51978.05,51525.95,51776.4,202567998,8671.53
02-DEC-2024,51013.5,51384.25,50780,51359.85,166920271,8187.88
29-NOV-2024,50739.35,50986.65,50369.5,50933.6,201639694,8592.13
28-NOV-2024,50740,51176.7,50509.05,50668.3,200474753,8428.04
27-NOV-2024,49802.1,50554.25,49645,50502.95,204881215,9226.78
26-NOV-2024,49388.85,49738.2,49309.4,49619.15,184056631,10121.96
25-NOV-2024,49205.45,49429.45,49093.3,49256.45,220614508,9123.07
22-NOV-2024,47771.85,48323.35,47616.9,48246.15,169368061,7182.78
21-NOV-2024,48113.55,48113.55,47210.45,47622.15,191840691,8377.07
19-NOV-2024,47787.05,48674.6,47780.75,48087.05,163584749,7158.6
18-NOV-2024,47862.25,48038.05,47122.7,47564.05,246448737,9311.95
14-NOV-2024,47664,48276.7,47616.3,47711.2,189128469,7044.76
13-NOV-2024,48916.85,49020.1,47427.4,47514.45,217164485,10404.22
12-NOV-2024,50005.85,50360.25,49031.4,49147.75,188356410,8821.74
11-NOV-2024,50320.6,50506.25,49770.3,49935.6,156893184,6326.37
