Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2023,18163.5,18295.45,18154.05,18257.05,296112517,10638.5
29-MAR-2023,17759.7,18092.75,17758.4,18044.45,370208196,13612.02
28-MAR-2023,17889.8,17894.15,17666.65,17738.55,249901591,9680.07
27-MAR-2023,17864.7,17950.85,17769.55,17836.55,264649987,8937.19
24-MAR-2023,18063.15,18092.25,17828.45,17860.65,227030852,8795.49
23-MAR-2023,18061.6,18158.3,18017.15,18037.75,199294250,9025.54
22-MAR-2023,18190.55,18226.1,18114.95,18135.4,187768207,6943.49
21-MAR-2023,18113.8,18160.25,18017,18130,233605270,9040.86
20-MAR-2023,18124.75,18155.65,17840.65,18026.1,219182270,8016.3
17-MAR-2023,18313.65,18337.6,18076.15,18210.95,331842576,11641.75
16-MAR-2023,18065.05,18215.6,17846.45,18138.85,274966532,9634.14
15-MAR-2023,18212.7,18270.3,18032.25,18066.3,224423054,9050.39
14-MAR-2023,18214.55,18238.6,17970.7,18106.3,268415803,10522.13
13-MAR-2023,18558.4,18661.6,18180.05,18214.9,236355382,9121.76
10-MAR-2023,18589.2,18602.05,18429.2,18560.2,214664034,9041.02
09-MAR-2023,18957.7,18971.35,18703.5,18730.2,213445113,9980.65
08-MAR-2023,18666,18917,18605.25,18904,261604976,11692.75
06-MAR-2023,18672.4,18829.4,18658.35,18704.7,276438109,13490.5
03-MAR-2023,18354.35,18621.45,18345.7,18570.4,341132628,13730.7
02-MAR-2023,18239.45,18262.5,18127.55,18206.9,277332710,12194.12
01-MAR-2023,17937.8,18252.55,17934.2,18238.65,270014357,10621.16
28-FEB-2023,17891.65,17984.45,17832.65,17890.95,480189202,17381.82
27-FEB-2023,17875.1,17918.65,17703.05,17869.6,250793182,8148.53
24-FEB-2023,18088.75,18097.75,17857.85,17916,219084442,7469.09
23-FEB-2023,17994.75,18103.6,17861.75,17996.5,284832950,8666.86
22-FEB-2023,18197.55,18197.55,17908.1,17958.9,246131429,8597.93
21-FEB-2023,18373.1,18396.1,18230.65,18254.85,269927180,8865.06
20-FEB-2023,18426.4,18466.05,18267.55,18309.85,222078785,7131.91
17-FEB-2023,18540.7,18585.55,18360.5,18410.45,225272918,8598.88
16-FEB-2023,18561.5,18636.75,18522.9,18587.25,222683859,8604.8
15-FEB-2023,18302,18478.2,18286.85,18458.45,203971839,9145.86
14-FEB-2023,18298.35,18367.6,18124.7,18316.8,284640792,11486.26
13-FEB-2023,18441.5,18501.9,18193.25,18241.55,272394661,9685.46
10-FEB-2023,18342.9,18509.25,18326.4,18404.7,239752019,9100.26
09-FEB-2023,18516.35,18518.1,18313.95,18426.05,245230534,11450.6
08-FEB-2023,18389.2,18504.55,18324.65,18486.5,239982381,10723.86
07-FEB-2023,18370.25,18440.55,18225.95,18333.6,294826342,11536.94
06-FEB-2023,18284.7,18350,18165.85,18318.75,323011364,11857.81
03-FEB-2023,18049.45,18322.4,17659.15,18294.9,505276088,17792.31
02-FEB-2023,18003.2,18198,17721.55,17965.75,599771122,20924.57
01-FEB-2023,18797.25,18806.75,17700.5,18049.15,716031431,23852.6
31-JAN-2023,18354.45,18658.6,18251.2,18610.65,502437924,17579
30-JAN-2023,18177.2,18495.3,17910.1,18229.05,604826098,22274.94
27-JAN-2023,18790.55,18792.9,17960.65,18167.25,548015528,21275.68
25-JAN-2023,19076.75,19088.4,18628.6,18780.9,348850919,11913.72
24-JAN-2023,19240.7,19248.85,19064.55,19101.85,207596415,7397.9
23-JAN-2023,19224.75,19230.15,19153.3,19192.25,237565128,6668.96
20-JAN-2023,19222.75,19251.2,19101.9,19123.15,242065103,6743.46
19-JAN-2023,19172.65,19208.7,19105.85,19178.6,193966529,6741.35
18-JAN-2023,19218.4,19255.25,19120.25,19239.3,238221330,8195.98
17-JAN-2023,19230.45,19239.8,18998.5,19175.65,332574063,8751.63
16-JAN-2023,19330.25,19378.65,19130.6,19188.15,376651275,7919.09
13-JAN-2023,19166.4,19307.6,19071.25,19282.15,280331891,8156.94
12-JAN-2023,19218.9,19231.6,19028.8,19129.6,218903091,7619.05
11-JAN-2023,19231.55,19247.85,19050.15,19162.7,256264982,9411.27
10-JAN-2023,19522.6,19526.7,19088.7,19200.9,247751716,8282.29
09-JAN-2023,19412.5,19533.85,19389.65,19489,215339145,6967.9
06-JAN-2023,19439.75,19462.35,19199.55,19287.6,265816037,7021
05-JAN-2023,19373.05,19445.2,19232.1,19411.3,283870189,7844.54
04-JAN-2023,19574.5,19608.15,19269.9,19296.95,288771625,7586.79
03-JAN-2023,19528.35,19606.6,19457.8,19548.1,261863137,6208.94
02-JAN-2023,19492.55,19576.35,19417.85,19515.15,244598963,5537.34
30-DEC-2022,19533.5,19567.5,19409.2,19444.95,335820143,7553.86
29-DEC-2022,19413.2,19477.35,19328.9,19450.65,193007731,7621.34
28-DEC-2022,19366,19530.55,19338.5,19489.85,128365345,5990.22
27-DEC-2022,19390.1,19467.75,19248.8,19394.95,118189010,5383.22
26-DEC-2022,18931.1,19364.15,18822.85,19271.4,146935371,6669.18
23-DEC-2022,19282.55,19389.25,18877.7,18925.1,171948881,8271.13
22-DEC-2022,19722.45,19759.35,19342.1,19450.2,141857770,7122.77
21-DEC-2022,20079.5,20122.65,19575.4,19631.95,131244620,7044.63
20-DEC-2022,20015.85,20037.75,19817.3,20019.8,103958163,6297.93
19-DEC-2022,19824.8,20058.7,19736.95,20035.3,131918260,6391.59
16-DEC-2022,20048.7,20119.35,19784.35,19810.8,231026165,10927.89
15-DEC-2022,20342.15,20394.45,20096.4,20131.4,145527189,7158.33
14-DEC-2022,20319.4,20394.6,20313.75,20360.55,123732992,6100.69
13-DEC-2022,20229.8,20280.55,20185.4,20265,124290264,6435.07
12-DEC-2022,20178.1,20219.3,20051.35,20182.3,139267147,6090.83
09-DEC-2022,20288.9,20380.95,20027.2,20197.15,204438789,9033.09
08-DEC-2022,20232.45,20275.7,20174.9,20224.85,193582505,7626.72
07-DEC-2022,20313.55,20336.9,20165.75,20200.45,123569969,6655.7
06-DEC-2022,20256.6,20324.85,20231.05,20302,155142264,7285.6
05-DEC-2022,20292.25,20310.75,20086.55,20291.05,148619731,7617.69
02-DEC-2022,20268.5,20285.5,20176.15,20245.25,137040335,6690.84
01-DEC-2022,20353.85,20361.45,20209.55,20264.6,185139866,7375.41
30-NOV-2022,20101.15,20321.5,20093.9,20264.3,313064305,16774.94
29-NOV-2022,20147.1,20181.55,20054.05,20079.05,111488749,5782.38
28-NOV-2022,20045.4,20192.5,20013.55,20125.25,123161485,8467.26
25-NOV-2022,20066.35,20103.45,19976.5,20080,137392965,6557.96
24-NOV-2022,19943.55,20033.3,19885.55,20008.2,126890925,6664.15
23-NOV-2022,20002.1,20002.1,19863.2,19890.6,145095519,7066.71
22-NOV-2022,19793.4,19931.3,19765.2,19918,126275593,6434.37
21-NOV-2022,19786.55,19796.25,19661.55,19781,132920917,6305.53
18-NOV-2022,20032.7,20046.85,19727.55,19825.2,157750008,7653.54
17-NOV-2022,20036.7,20083.9,19952.75,20003.3,155933433,7566.38
16-NOV-2022,20153.65,20180.85,19953.9,20066.65,162575627,8903.92
15-NOV-2022,20094.6,20152.55,20008.65,20128.95,171870036,7338.77
14-NOV-2022,20143.35,20161.15,20019.75,20041.15,180223545,8536.51
11-NOV-2022,20332.8,20380.15,20065.45,20118.45,211821202,10001.4
10-NOV-2022,20319.45,20322.85,20044,20121.4,209493760,8978.43
